unique_id,year,date_sampled,doy,times_sampled,block,site,site_type,time,plant_species,collector,family,genus,genus_species,caste,tongue,notes
32,2009,06-Jul,187,2,A,Tuttle,veratrum,AM,"Frasera speciosa",TM,Apidae,Bombus,bifarius,W,short,
33,2009,06-Jul,187,2,A,Tuttle,veratrum,AM,"Hydrophyllum fendleri",TM,Apidae,Bombus,bifarius,unknown,short,
34,2009,06-Jul,187,2,A,Tuttle,veratrum,AM,"Hydrophyllum fendleri",TM,Apidae,Bombus,insularis,unknown,short,
35,2009,06-Jul,187,2,A,Tuttle,veratrum,AM,"Hydrophyllum fendleri",TM,Apidae,Bombus,insularis,unknown,short,
36,2009,06-Jul,187,2,A,Tuttle,veratrum,PM,"Delphinium barbeyi",TM,Apidae,Bombus,appositus,unknown,long,
37,2009,06-Jul,187,2,A,Tuttle,veratrum,PM,"in flight",TM,Apidae,Bombus,appositus,unknown,long,
38,2009,06-Jul,187,2,A,Tuttle,veratrum,PM,"Lupinus polyphyllus",TM,Apidae,Bombus,appositus,unknown,long,
39,2009,06-Jul,187,2,A,Tuttle,veratrum,PM,"Hydrophyllum fendleri",TM,Apidae,Bombus,bifarius,unknown,short,
40,2009,06-Jul,187,2,A,Tuttle,veratrum,PM,"Potentilla pulcherrima",TM,Apidae,Bombus,bifarius,unknown,short,
41,2009,06-Jul,187,2,A,Tuttle,veratrum,PM,"Hydrophyllum fendleri",TM,Apidae,Bombus,flavifrons,unknown,medium,
42,2009,06-Jul,187,2,A,Tuttle,veratrum,PM,"in flight",TM,Apidae,Bombus,insularis,unknown,short,
43,2009,06-Jul,187,2,A,Tuttle,veratrum,PM,"in flight",TM,Apidae,Bombus,insularis,unknown,short,
44,2009,06-Jul,187,2,A,Willey,willow,AM,"in flight","C. Donohar",Apidae,Bombus,appositus,unknown,long,
45,2009,06-Jul,187,2,A,Willey,willow,AM,"Lupinus polyphyllus","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
46,2009,14-Jul,195,1,D,Copper,willow,AM,"Helianthella quinquenervis","C. Donohar",Apidae,Bombus,bifarius,Q,short,
47,2009,14-Jul,195,1,D,Copper,willow,AM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,insularis,Q,short,
48,2009,14-Jul,195,1,D,Copper,willow,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,frigidus,W,short,
49,2009,14-Jul,195,1,D,Copper,willow,AM,"in flight",TM,Apidae,Bombus,insularis,Q,short,
50,2009,14-Jul,195,1,D,Copper,willow,PM,"in flight","J. Mola",Apidae,Bombus,insularis,Q,short,
51,2009,14-Jul,195,1,D,Copper,willow,PM,"Helianthella quinquenervis","R. Diaz",Apidae,Bombus,fervidus,unknown,long,
52,2009,14-Jul,195,1,D,Copper,willow,PM,"Helianthella quinquenervis","R. Diaz",Apidae,Bombus,fervidus,unknown,long,
53,2009,14-Jul,195,1,D,Copper,willow,PM,"Helianthella quinquenervis","R. Diaz",Apidae,Bombus,fervidus,unknown,long,
54,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis","C. Donohar",Apidae,Bombus,insularis,Q,short,
55,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,bifarius,W,short,
56,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,bifarius,W,short,
57,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,mixtus,Q,short,
58,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,bifarius,W,short,
59,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,bifarius,Q,short,
60,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,W,medium,
61,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,W,medium,
62,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,W,medium,
63,2009,14-Jul,195,1,D,Hill,dry,AM,"Vicia americana",TM,Apidae,Bombus,flavifrons,Q,medium,
64,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,rufocinctus,Q,short,
65,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,sylvicola,W,short,
66,2009,14-Jul,195,1,D,Hill,dry,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,sylvicola,W,short,
67,2009,14-Jul,195,1,D,Hill,dry,PM,"Vicia americana","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
68,2009,14-Jul,195,1,D,Hill,dry,PM,"Vicia americana","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
69,2009,14-Jul,195,1,D,Hill,dry,PM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,insularis,unknown,short,
70,2009,14-Jul,195,1,D,Hill,dry,PM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,insularis,unknown,short,
71,2009,14-Jul,195,1,D,Hill,dry,PM,"Helianthella quinquenervis","R. Diaz",Apidae,Bombus,appositus,unknown,long,
72,2009,14-Jul,195,1,D,Hill,dry,PM,"Helianthella quinquenervis","R. Diaz",Apidae,Bombus,bifarius,unknown,short,
73,2009,14-Jul,195,1,D,Hill,dry,PM,"Helianthella quinquenervis","R. Diaz",Apidae,Bombus,flavifrons,unknown,medium,
74,2009,14-Jul,195,1,D,Hill,dry,PM,"Vicia americana","R. Diaz",Apidae,Bombus,flavifrons,unknown,medium,
75,2009,14-Jul,195,1,D,Hill,dry,PM,"in flight","R. Diaz",Apidae,Bombus,insularis,unknown,short,
76,2009,14-Jul,195,1,D,Hill,dry,PM,"Helianthella quinquenervis","R. Diaz",Apidae,Bombus,insularis,unknown,short,
77,2009,14-Jul,195,1,D,Hill,dry,PM,"Helianthella quinquenervis","R. Diaz",Apidae,Bombus,sylvicola,unknown,short,
78,2009,14-Jul,195,1,D,Hill,dry,PM,"Helianthella quinquenervis","R. Diaz",Apidae,Bombus,sylvicola,unknown,short,
79,2009,14-Jul,195,1,D,Hill,dry,PM,"Helianthella quinquenervis","R. Diaz",Apidae,Bombus,sylvicola,unknown,short,
80,2009,14-Jul,195,1,D,Little,veratrum,AM,"Helianthella quinquenervis","C. Donohar",Apidae,Bombus,rufocinctus,W,short,
81,2009,14-Jul,195,1,D,Little,veratrum,AM,"Delphinium barbeyi","J. Mola",Apidae,Bombus,flavifrons,W,medium,
82,2009,14-Jul,195,1,D,Little,veratrum,AM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,frigidus,Q,short,
83,2009,14-Jul,195,1,D,Little,veratrum,AM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,sylvicola,W,short,
84,2009,14-Jul,195,1,D,Little,veratrum,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,bifarius,W,short,
85,2009,14-Jul,195,1,D,Little,veratrum,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,Q,medium,
86,2009,14-Jul,195,1,D,Little,veratrum,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,Q,medium,
87,2009,14-Jul,195,1,D,Little,veratrum,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,Q,medium,
88,2009,14-Jul,195,1,D,Little,veratrum,AM,"Mertensia ciliata",TM,Apidae,Bombus,flavifrons,W,medium,
89,2009,14-Jul,195,1,D,Little,veratrum,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,frigidus,W,short,
90,2009,14-Jul,195,1,D,Little,veratrum,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,frigidus,W,short,
91,2009,14-Jul,195,1,D,Little,veratrum,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,frigidus,W,short,
92,2009,14-Jul,195,1,D,Little,veratrum,PM,"Vicia americana","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
93,2009,14-Jul,195,1,D,Little,veratrum,PM,"Vicia americana","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
94,2009,14-Jul,195,1,D,Little,veratrum,PM,"Vicia americana","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
95,2009,16-Jul,197,2,B,Beaver,veratrum,AM,"Adenolinum lewisii","Z. Gezon",Apidae,Bombus,bifarius,unknown,short,
96,2009,16-Jul,197,2,B,Beaver,veratrum,AM,"Delphinium barbeyi","Z. Gezon",Apidae,Bombus,flavifrons,unknown,medium,
97,2009,16-Jul,197,2,B,Beaver,veratrum,PM,"Vicia americana","J. Mola",Apidae,Bombus,appositus,unknown,long,
98,2009,16-Jul,197,2,B,Beaver,veratrum,PM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,flavifrons,W,medium,
99,2009,16-Jul,197,2,B,Beaver,veratrum,PM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
100,2009,16-Jul,197,2,B,Beaver,veratrum,PM,"Vicia americana","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
101,2009,16-Jul,197,2,B,Beaver,veratrum,PM,"Helianthella quinquenervis","Z. Gezon",Apidae,Bombus,bifarius,unknown,short,
102,2009,16-Jul,197,2,B,Beaver,veratrum,PM,"in flight","Z. Gezon",Apidae,Bombus,flavifrons,unknown,medium,
103,2009,16-Jul,197,2,B,Beaver,veratrum,PM,"Vicia americana","Z. Gezon",Apidae,Bombus,flavifrons,unknown,medium,
104,2009,16-Jul,197,2,B,Beaver,veratrum,PM,"Helianthella quinquenervis","Z. Gezon",Apidae,Bombus,insularis,unknown,short,
105,2009,16-Jul,197,2,B,Gothic,willow,AM,"Potentilla pulcherrima","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
106,2009,16-Jul,197,2,B,Gothic,willow,AM,"Delphinium barbeyi","Z. Gezon",Apidae,Bombus,bifarius,unknown,short,
107,2009,16-Jul,197,2,B,Gothic,willow,AM,"Helianthella quinquenervis","Z. Gezon",Apidae,Bombus,bifarius,unknown,short,
108,2009,16-Jul,197,2,B,Gothic,willow,AM,"Helianthella quinquenervis","Z. Gezon",Apidae,Bombus,fervidus,unknown,long,
109,2009,16-Jul,197,2,B,Gothic,willow,PM,"Delphinium barbeyi","Z. Gezon",Apidae,Bombus,appositus,unknown,long,
110,2009,16-Jul,197,2,B,Gothic,willow,PM,"Delphinium barbeyi","Z. Gezon",Apidae,Bombus,appositus,unknown,long,
111,2009,16-Jul,197,2,B,Gothic,willow,PM,"Helianthella quinquenervis","Z. Gezon",Apidae,Bombus,appositus,unknown,long,
112,2009,16-Jul,197,2,B,Gothic,willow,PM,"Delphinium barbeyi","Z. Gezon",Apidae,Bombus,flavifrons,unknown,medium,
113,2009,16-Jul,197,2,B,Gothic,willow,PM,"in flight","Z. Gezon",Apidae,Bombus,flavifrons,unknown,medium,
114,2009,16-Jul,197,2,B,Seans,dry,AM,"Helianthella quinquenervis","Z. Gezon",Apidae,Bombus,flavifrons,unknown,medium,
115,2009,16-Jul,197,2,B,Seans,dry,PM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,appositus,unknown,long,
116,2009,16-Jul,197,2,B,Seans,dry,PM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
117,2009,22-Jul,203,3,A,Davids,dry,AM,"Pentaphylloides floribunda","C. Donohar",Apidae,Bombus,sylvicola,unknown,short,
118,2009,22-Jul,203,3,A,Davids,dry,AM,"in flight","J. Mola",Apidae,Bombus,appositus,unknown,long,
119,2009,22-Jul,203,3,A,Davids,dry,AM,"Eremogone congesta","J. Mola",Apidae,Bombus,bifarius,unknown,short,
120,2009,22-Jul,203,3,A,Davids,dry,AM,"Eremogone congesta","J. Mola",Apidae,Bombus,sylvicola,unknown,short,
121,2009,22-Jul,203,3,A,Davids,dry,AM,"Heliomeris multiflora","J. Mola",Apidae,Bombus,sylvicola,unknown,short,
122,2009,22-Jul,203,3,A,Davids,dry,PM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,bifarius,unknown,short,
123,2009,22-Jul,203,3,A,Davids,dry,PM,"Heterotheca villosa","J. Mola",Apidae,Bombus,bifarius,unknown,short,
124,2009,22-Jul,203,3,A,Davids,dry,PM,"Calochortus gunnisonii","J. Mola",Apidae,Bombus,sylvicola,unknown,short,
125,2009,22-Jul,203,3,A,Tuttle,veratrum,AM,"Delphinium barbeyi","C. Donohar",Apidae,Bombus,appositus,unknown,long,
126,2009,22-Jul,203,3,A,Tuttle,veratrum,AM,"Delphinium barbeyi","C. Donohar",Apidae,Bombus,appositus,unknown,long,
127,2009,22-Jul,203,3,A,Tuttle,veratrum,AM,"Pyrrocoma crocea","C. Donohar",Apidae,Bombus,appositus,unknown,long,
128,2009,22-Jul,203,3,A,Tuttle,veratrum,AM,"Helianthella quinquenervis","C. Donohar",Apidae,Bombus,sylvicola,unknown,short,
129,2009,22-Jul,203,3,A,Tuttle,veratrum,AM,"Delphinium barbeyi","J. Mola",Apidae,Bombus,appositus,unknown,long,
130,2009,22-Jul,203,3,A,Tuttle,veratrum,AM,"Delphinium barbeyi","J. Mola",Apidae,Bombus,appositus,unknown,long,
131,2009,22-Jul,203,3,A,Tuttle,veratrum,AM,"Delphinium barbeyi","J. Mola",Apidae,Bombus,appositus,unknown,long,
132,2009,22-Jul,203,3,A,Tuttle,veratrum,AM,"Potentilla pulcherrima","J. Mola",Apidae,Bombus,bifarius,unknown,short,
133,2009,22-Jul,203,3,A,Tuttle,veratrum,AM,"Potentilla pulcherrima","J. Mola",Apidae,Bombus,bifarius,unknown,short,
134,2009,22-Jul,203,3,A,Tuttle,veratrum,AM,"Delphinium barbeyi","J. Mola",Apidae,Bombus,sylvicola,unknown,short,
135,2009,22-Jul,203,3,A,Tuttle,veratrum,PM,"Delphinium barbeyi","J. Mola",Apidae,Bombus,appositus,unknown,long,
136,2009,22-Jul,203,3,A,Tuttle,veratrum,PM,"Potentilla pulcherrima","J. Mola",Apidae,Bombus,bifarius,unknown,short,
137,2009,22-Jul,203,3,A,Willey,willow,AM,"Helianthella quinquenervis","C. Donohar",Apidae,Bombus,appositus,unknown,long,
138,2009,22-Jul,203,3,A,Willey,willow,AM,"Helianthella quinquenervis","C. Donohar",Apidae,Bombus,fervidus,unknown,long,
139,2009,22-Jul,203,3,A,Willey,willow,AM,"Ligularia bigelovii","C. Donohar",Apidae,Bombus,flavifrons,unknown,medium,
140,2009,22-Jul,203,3,A,Willey,willow,AM,"Potentilla pulcherrima","C. Donohar",Apidae,Bombus,flavifrons,unknown,medium,
141,2009,22-Jul,203,3,A,Willey,willow,AM,"Helianthella quinquenervis","C. Donohar",Apidae,Bombus,sylvicola,unknown,short,
142,2009,22-Jul,203,3,A,Willey,willow,AM,"Helianthella quinquenervis","C. Donohar",Apidae,Bombus,sylvicola,unknown,short,
143,2009,22-Jul,203,3,A,Willey,willow,AM,"Potentilla pulcherrima","C. Donohar",Apidae,Bombus,sylvicola,unknown,short,
144,2009,22-Jul,203,3,A,Willey,willow,AM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,bifarius,unknown,short,
145,2009,22-Jul,203,3,A,Willey,willow,PM,"Delphinium barbeyi","J. Mola",Apidae,Bombus,appositus,unknown,long,
146,2009,22-Jul,203,3,A,Willey,willow,PM,"Delphinium barbeyi","J. Mola",Apidae,Bombus,appositus,unknown,long,
147,2009,22-Jul,203,3,A,Willey,willow,PM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,bifarius,unknown,short,
148,2009,22-Jul,203,3,A,Willey,willow,PM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,bifarius,unknown,short,
149,2009,22-Jul,203,3,A,Willey,willow,PM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,bifarius,unknown,short,
150,2009,22-Jul,203,3,A,Willey,willow,PM,"in flight","J. Mola",Apidae,Bombus,insularis,unknown,short,
151,2009,27-Jul,208,2,D,Copper,willow,AM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
152,2009,27-Jul,208,2,D,Copper,willow,AM,"in flight",TM,Apidae,Bombus,appositus,unknown,long,
153,2009,27-Jul,208,2,D,Copper,willow,AM,"Castilleja sulphurea",TM,Apidae,Bombus,flavifrons,unknown,medium,
154,2009,27-Jul,208,2,D,Copper,willow,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,unknown,medium,
155,2009,27-Jul,208,2,D,Copper,willow,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,unknown,medium,
156,2009,27-Jul,208,2,D,Copper,willow,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,unknown,medium,
157,2009,27-Jul,208,2,D,Copper,willow,AM,"Castilleja sulphurea",TM,Apidae,Bombus,occidentalis,unknown,short,
158,2009,27-Jul,208,2,D,Copper,willow,PM,"Solidago multiradiata","J. Mola",Apidae,Bombus,appositus,unknown,long,
159,2009,27-Jul,208,2,D,Copper,willow,PM,"in flight",TM,Apidae,Bombus,bifarius,unknown,short,
160,2009,27-Jul,208,2,D,Copper,willow,PM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,unknown,medium,
161,2009,27-Jul,208,2,D,Copper,willow,PM,"Erigeron speciosus",TM,Apidae,Bombus,mixtus,unknown,short,
162,2009,27-Jul,208,2,D,Copper,willow,PM,"Solidago multiradiata",TM,Apidae,Bombus,mixtus,unknown,short,
163,2009,27-Jul,208,2,D,Hill,dry,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,unknown,medium,
164,2009,27-Jul,208,2,D,Hill,dry,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,mixtus,unknown,short,
165,2009,27-Jul,208,2,D,Hill,dry,PM,"Potentilla pulcherrima","J. Mola",Apidae,Bombus,bifarius,unknown,short,
166,2009,27-Jul,208,2,D,Hill,dry,PM,"Potentilla pulcherrima","R. Diaz",Apidae,Bombus,bifarius,unknown,short,
167,2009,27-Jul,208,2,D,Hill,dry,PM,"Campanula rotundifolia","R. Diaz",Apidae,Bombus,flavifrons,unknown,medium,
168,2009,27-Jul,208,2,D,Hill,dry,PM,"in flight","R. Diaz",Apidae,Bombus,nevadensis,unknown,long,
169,2009,27-Jul,208,2,D,Hill,dry,PM,"Potentilla pulcherrima",TM,Apidae,Bombus,bifarius,unknown,short,
170,2009,27-Jul,208,2,D,Hill,dry,PM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,unknown,medium,
171,2009,27-Jul,208,2,D,Hill,dry,PM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,unknown,medium,
172,2009,27-Jul,208,2,D,Hill,dry,PM,"Helianthella quinquenervis",TM,Apidae,Bombus,flavifrons,unknown,medium,
173,2009,27-Jul,208,2,D,Hill,dry,PM,"Erigeron speciosus",TM,Apidae,Bombus,mixtus,unknown,short,
174,2009,27-Jul,208,2,D,Little,veratrum,AM,"Castilleja sulphurea","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
175,2009,27-Jul,208,2,D,Little,veratrum,AM,"Erigeron speciosus","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
176,2009,27-Jul,208,2,D,Little,veratrum,AM,"Helianthella quinquenervis","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
177,2009,27-Jul,208,2,D,Little,veratrum,AM,"Ipomopsis aggregata",TM,Apidae,Bombus,appositus,unknown,long,
178,2009,27-Jul,208,2,D,Little,veratrum,AM,"Castilleja sulphurea",TM,Apidae,Bombus,balteatus,unknown,long,
179,2009,27-Jul,208,2,D,Little,veratrum,AM,"Aconitum columbianum",TM,Apidae,Bombus,flavifrons,unknown,medium,
180,2009,27-Jul,208,2,D,Little,veratrum,AM,"Aconitum columbianum",TM,Apidae,Bombus,flavifrons,unknown,medium,
181,2009,27-Jul,208,2,D,Little,veratrum,AM,"Aconitum columbianum",TM,Apidae,Bombus,flavifrons,unknown,medium,
182,2009,27-Jul,208,2,D,Little,veratrum,AM,"Aconitum columbianum",TM,Apidae,Bombus,flavifrons,unknown,medium,
183,2009,27-Jul,208,2,D,Little,veratrum,AM,"Aconitum columbianum",TM,Apidae,Bombus,flavifrons,unknown,medium,
184,2009,27-Jul,208,2,D,Little,veratrum,AM,"Castilleja sulphurea",TM,Apidae,Bombus,flavifrons,unknown,medium,
185,2009,27-Jul,208,2,D,Little,veratrum,AM,"Ligularia bigelovii",TM,Apidae,Bombus,mixtus,unknown,short,
186,2009,27-Jul,208,2,D,Little,veratrum,AM,"Helianthella quinquenervis",TM,Apidae,Bombus,rufocinctus,unknown,short,
187,2009,27-Jul,208,2,D,Little,veratrum,AM,"Heliomeris multiflora",TM,Apidae,Bombus,rufocinctus,unknown,short,
188,2009,27-Jul,208,2,D,Little,veratrum,PM,"Delphinium barbeyi","R. Diaz",Apidae,Bombus,appositus,unknown,long,
189,2009,27-Jul,208,2,D,Little,veratrum,PM,"Aconitum columbianum","R. Diaz",Apidae,Bombus,flavifrons,unknown,medium,
190,2009,27-Jul,208,2,D,Little,veratrum,PM,"Aconitum columbianum","R. Diaz",Apidae,Bombus,flavifrons,unknown,medium,
191,2009,27-Jul,208,2,D,Little,veratrum,PM,"Aconitum columbianum",TM,Apidae,Bombus,appositus,unknown,long,
192,2009,27-Jul,208,2,D,Little,veratrum,PM,"Aconitum columbianum",TM,Apidae,Bombus,appositus,unknown,long,
193,2009,27-Jul,208,2,D,Little,veratrum,PM,"Aconitum columbianum",TM,Apidae,Bombus,flavifrons,unknown,medium,
194,2009,27-Jul,208,2,D,Little,veratrum,PM,"Aconitum columbianum",TM,Apidae,Bombus,flavifrons,unknown,medium,
195,2009,27-Jul,208,2,D,Little,veratrum,PM,"Aconitum columbianum",TM,Apidae,Bombus,flavifrons,unknown,medium,
196,2009,27-Jul,208,2,D,Little,veratrum,PM,"Vicia americana",TM,Apidae,Bombus,flavifrons,unknown,medium,
197,2009,27-Jul,208,2,D,Little,veratrum,PM,"Heliomeris multiflora",TM,Apidae,Bombus,frigidus,unknown,short,
198,2009,29-Jul,210,3,B,Beaver,veratrum,AM,"Cirsium sp.","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
199,2009,29-Jul,210,3,B,Beaver,veratrum,AM,"Cirsium sp.","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
200,2009,29-Jul,210,3,B,Beaver,veratrum,AM,"Vicia americana","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
201,2009,29-Jul,210,3,B,Beaver,veratrum,AM,"Delphinium barbeyi",TM,Apidae,Bombus,appositus,unknown,long,
202,2009,29-Jul,210,3,B,Beaver,veratrum,AM,"Delphinium barbeyi",TM,Apidae,Bombus,fervidus,unknown,long,
203,2009,29-Jul,210,3,B,Beaver,veratrum,AM,"Cirsium sp.",TM,Apidae,Bombus,flavifrons,unknown,medium,
204,2009,29-Jul,210,3,B,Beaver,veratrum,AM,"Delphinium barbeyi",TM,Apidae,Bombus,flavifrons,unknown,medium,
205,2009,29-Jul,210,3,B,Gothic,willow,AM,"Delphinium barbeyi","J. Mola",Apidae,Bombus,appositus,unknown,long,
206,2009,29-Jul,210,3,B,Gothic,willow,AM,"Delphinium barbeyi","J. Mola",Apidae,Bombus,appositus,unknown,long,
207,2009,29-Jul,210,3,B,Gothic,willow,AM,"in flight","J. Mola",Apidae,Bombus,flavifrons,unknown,medium,
208,2009,29-Jul,210,3,B,Gothic,willow,AM,"Delphinium barbeyi",TM,Apidae,Bombus,appositus,unknown,long,
