year,date_sampled,site,block,doy,times_sampled,habitat_type,bowls_down,bowls_up,bowl_time,start_am,am_nettime_hrs,am_netters,start_pm,pm_nettime_hrs,pm_netters,total_time,high_temp,wind,cloud_cover,precip,notes
2010,24-Jul,Almont,"Weather station",205,3,"Weather Station",10:42,16:38,5:56,10:42,1,"Z. Gezon",15:14,1,"Z. Gezon",2,,,,,
2010,26-Jul,Hill,D,207,4,Dry,9:21,13:31,4:10,9:23,1,"Z. Gezon, R. Polanco",12:40,1,"Z. Gezon, R. Polanco",2,,,,,
2010,26-Jul,Little,D,207,4,Veratrum,10:11,15:05,4:54,10:12,1,"Z. Gezon, R. Polanco",14:14,1,"Z. Gezon, R. Polanco",2,,,,,
2010,26-Jul,Copper,D,207,4,Willow,11:00,15:55,4:55,11:03,1,"Z. Gezon, R. Polanco",15:19,1,"Z. Gezon, R. Polanco",2,,,,,
2010,28-Jul,"Kettle ponds","Weather station",209,3,"Weather Station",9:55,15:35,5:40,9:55,1,"R. Polanco",14:35,1,"Z. Gezon, R. Polanco",2,,,,,
2010,28-Jul,Snodgrass,"Weather station",209,3,"Weather Station",9:30,13:20,3:50,9:18,1,"Z. Gezon, A. Slominski",12:15,1,"Z. Gezon, A. Slominski",2,,,,,
2010,02-Aug,Tuttle,A,214,4,Veratrum,8:28,13:29,5:01,8:30,1,"R. Polanco, A. Slominski",12:25,1,"R. Polanco, A. Slominski",2,,,,,
2010,02-Aug,Willey,A,214,4,Willow,10:05,14:46,4:41,9:15,1,"R. Polanco, A. Slominski",13:50,1,"R. Polanco, A. Slominski",2,,,,,
2010,02-Aug,Davids,A,214,4,Dry,10:30,15:40,5:10,10:35,1,"R. Polanco, A. Slominski",15:15,1,"R. Polanco, A. Slominski",2,,,,,"rain in afternoon"
2010,03-Aug,Beaver,B,215,5,Veratrum,8:40,13:15,4:35,8:41,1,"R. Polanco, A. Slominski",12:30,1,"R. Polanco, A. Slominski",2,,,,,
2010,03-Aug,Gothic,B,215,5,Willow,9:37,13:35,3:58,9:38,1,"R. Polanco, A. Slominski",13:45,1,"R. Polanco, A. Slominski",2,,,,,
2010,03-Aug,Seans,B,215,5,Dry,10:45,15:55,5:10,10:50,1,"R. Polanco, A. Slominski",15:05,1,"R. Polanco, A. Slominski",2,,,,,
2010,04-Aug,Hill,D,216,5,Dry,9:00,13:40,4:40,9:02,1,"R. Polanco, A. Slominski",12:29,1,"R. Polanco, A. Slominski",2,,,,,
2010,04-Aug,Little,D,216,5,Veratrum,9:58,14:52,4:54,10:00,1,"R. Polanco, A. Slominski",13:55,1,"R. Polanco, A. Slominski",2,,,,,
2010,04-Aug,Copper,D,216,5,Willow,10:54,15:50,4:56,10:55,1,"R. Polanco, A. Slominski",15:08,1,"R. Polanco, A. Slominski",2,,,,,
2010,05-Aug,"Kettle ponds","Weather station",217,4,"Weather Station",9:20,13:25,4:05,9:25,1,"R. Polanco",12:01,1,"R. Polanco",2,,,,,
2010,05-Aug,Snodgrass,"Weather station",217,4,"Weather Station",9:30,14:00,4:30,9:30,1,"A. Slominski",12:15,1,"A. Slominski",2,,,,,
2010,10-Aug,"Mexican Cut","Weather station",222,3,"Weather Station",9:10,14:15,5:05,9:10,1,"Z. Gezon",12:45,1,"Z. Gezon",2,,,,,
2010,11-Aug,Almont,"Weather station",223,4,"Weather Station",9:24,14:18,4:54,9:25,1,"Z. Gezon",12:50,1,"Z. Gezon",2,,,,,
2010,16-Aug,Tuttle,A,228,5,Veratrum,7:55,14:16,6:21,7:55,1,"Z. Gezon",12:55,1,"Z. Gezon",2,,,,,
2010,16-Aug,Willey,A,228,5,Willow,9:20,15:16,5:56,9:20,0.5,"Z. Gezon",14:20,0.85,"Z. Gezon",1.35,,,,,
2010,16-Aug,Davids,A,228,5,Dry,10:27,16:50,6:23,10:27,1,"Z. Gezon",15:37,1,"Z. Gezon",2,,,,,
2010,17-Aug,Beaver,B,229,6,Veratrum,8:47,13:00,4:13,8:47,1,"Z. Gezon, A. Slominski",12:25,1,"Z. Gezon, A. Slominski",2,,,,,
2010,17-Aug,Gothic,B,229,6,Willow,9:36,13:45,4:09,9:36,1,"Z. Gezon, A. Slominski",13:06,1,"Z. Gezon, A. Slominski",2,,,,,
2010,17-Aug,Seans,B,229,6,Dry,10:42,14:33,3:51,10:42,1,"Z. Gezon, A. Slominski",13:54,1,"Z. Gezon, A. Slominski",2,,,,,
2010,18-Aug,Hill,D,230,6,Dry,9:06,14:59,5:53,9:08,1,"Z. Gezon",13:30,1,"Z. Gezon",2,,,,,
2010,18-Aug,Little,D,230,6,Veratrum,10:37,16:34,5:57,10:40,1,"Z. Gezon",15:02,1,"Z. Gezon",2,,,,,
2010,18-Aug,Copper,D,230,6,Willow,12:04,18:00,5:56,12:04,1,"Z. Gezon",16:38,1,"Z. Gezon",2,,,,,
2010,19-Aug,"Kettle ponds","Weather station",231,5,"Weather Station",9:00,15:48,6:48,9:04,1,"Z. Gezon",14:36,1,"Z. Gezon",2,,,,,
2010,19-Aug,Snodgrass,"Weather station",231,5,"Weather Station",9:15,13:30,4:15,9:20,1,"A. Slominski",12:00,1,"A. Slominski",2,,,,,
2010,20-Aug,Almont,"Weather station",232,5,"Weather Station",9:50,14:41,4:51,9:50,1,"Z. Gezon",12:30,1,"Z. Gezon",2,,,,,
2010,21-Aug,"Mexican Cut","Weather station",233,4,"Weather Station",8:56,14:51,5:55,9:35,1,"Z. Gezon",13:14,1,"Z. Gezon",2,,,,,
2010,28-Aug,Beaver,B,240,7,Veratrum,8:30,13:55,5:25,8:32,1,"A. Slominski",12:45,1,"A. Slominski",2,,,,,
2010,28-Aug,Gothic,B,240,7,Willow,9:45,15:15,5:30,9:45,1,"A. Slominski",14:00,1,"A. Slominski",2,,,,,
2010,28-Aug,Seans,B,240,7,Dry,11:02,16:40,5:38,11:02,1.17,"A. Slominski",15:22,1.08,"A. Slominski",2.25,,,,,
2010,29-Aug,Tuttle,A,241,6,Veratrum,8:00,13:35,5:35,8:00,1.05,"A. Slominski",12:15,1.08,"A. Slominski",2.13,,,,,
2010,29-Aug,Willey,A,241,6,Willow,9:16,15:00,5:44,9:17,1.1,"A. Slominski",13:40,1.08,"A. Slominski",2.18,,,,,
2010,29-Aug,Davids,A,241,6,Dry,10:45,16:32,5:47,10:46,1.08,"A. Slominski",15:15,1.08,"A. Slominski",2.17,,,,,
2010,02-Sep,Almont,"Weather station",245,6,"Weather Station",10:22,16:12,5:50,10:22,1,"Z. Gezon",14:49,1,"Z. Gezon",2,,,,,
2010,03-Sep,"Mexican Cut","Weather station",246,5,"Weather Station",10:32,17:11,6:39,10:38,1,"Z. Gezon",15:22,1,"Z. Gezon",2,,,,,
2010,04-Sep,Hill,D,247,7,Dry,8:56,14:29,5:33,8:56,1,"Z. Gezon",13:04,1,"Z. Gezon",2,,,,,
2010,04-Sep,Little,D,247,7,Veratrum,10:24,15:57,5:33,10:24,1,"Z. Gezon",14:34,1,"Z. Gezon",2,,,,,
2010,04-Sep,Copper,D,247,7,Willow,11:51,17:19,5:28,11:55,1,"Z. Gezon",15:59,1,"Z. Gezon",2,,,,,
2010,05-Sep,"Kettle ponds","Weather station",248,6,"Weather Station",9:00,15:14,6:14,9:00,1,"Z. Gezon",14:00,1,"Z. Gezon",2,,,,,
2010,05-Sep,Snodgrass,"Weather station",248,6,"Weather Station",11:35,17:22,5:47,11:38,1,"Z. Gezon",16:10,1,"Z. Gezon",2,,,,,
2011,08-Jun,Willey,A,159,1,Willow,9:58,15:01,5:03,11:07,1,"Z. Gezon, R. Brennan, J. Mola",14:27,1,"Z. Gezon, R. Brennan, J. Mola",2,,,,,
2011,08-Jun,Tuttle,A,159,1,Veratrum,9:07,14:20,5:13,9:14,1,"Z. Gezon, R. Brennan, J. Mola",13:36,1,"Z. Gezon, R. Brennan, J. Mola",2,,,,,
2011,08-Jun,Davids,A,159,1,Dry,11:00,15:57,4:57,9:59,1,"Z. Gezon, R. Brennan, J. Mola",15:24,1,"Z. Gezon, R. Brennan, J. Mola",2,,,,,
2011,14-Jun,Hill,D,165,1,Dry,9:10,14:20,5:10,9:12,1,"R. Brennan, J. Mola, P. Caradonna",13:40,1,"R. Brennan, J. Mola, P. Caradonna",2,,,,,
2011,14-Jun,Little,D,165,1,Veratrum,10:15,14:59,4:44,10:17,1,"R. Brennan, J. Mola, P. Caradonna",14:27,1,"R. Brennan, J. Mola, P. Caradonna",2,,,,,
2011,15-Jun,Seans,B,166,1,Dry,8:42,14:32,5:50,8:44,1,"R. Brennan, J. Mola",13:40,1,"R. Brennan, J. Mola",2,,,,,
2011,15-Jun,Gothic,B,166,1,Willow,10:36,15:00,4:24,10:37,1,"R. Brennan, J. Mola",15:01,1,"R. Brennan, J. Mola",2,,,,,
2011,15-Jun,Beaver,B,166,1,Veratrum,11:36,16:33,4:57,11:37,1,"R. Brennan, J. Mola",15:55,1,"R. Brennan, J. Mola",2,,,,,
2011,16-Jun,Almont,"Weather station",167,1,"Weather Station",10:05,14:35,4:30,10:12,1,"R. Brennan",13:10,1,"R. Brennan",2,,,,,
2011,17-Jun,"Kettle Ponds","Weather station",168,1,"Weather Station",9:35,14:55,5:20,9:37,1,"R. Brennan, J. Mola, Bethany",NA,0,NA,1,,,,,rain
2011,17-Jun,Snodgrass,"Weather station",168,1,"Weather Station",12:10,16:46,4:36,12:17,1,"R. Brennan, J. Mola, Bethany",NA,0,NA,1,,,,,rain
2011,27-Jun,Davids,A,178,2,Dry,8:58,14:23,5:25,9:12,1,"R. Brennan, J. Mola",13:42,1,"R. Brennan, J. Mola",2,,,,,
2011,27-Jun,Tuttle,A,178,2,Veratrum,10:20,15:38,5:18,10:23,1,"R. Brennan, J. Mola",14:52,1,"R. Brennan, J. Mola",2,,,,,
2011,27-Jun,Willey,A,178,2,Willow,11:26,16:30,5:04,11:30,1,"R. Brennan, J. Mola",15:51,1,"R. Brennan, J. Mola",2,,,,,
2011,28-Jun,Gothic,B,179,2,Willow,8:49,14:15,5:26,8:52,1,"R. Brennan, J. Mola",13:36,1,"R. Brennan, J. Mola",2,,,,,
2011,28-Jun,Beaver,B,179,2,Veratrum,9:43,14:57,5:14,9:46,1,"R. Brennan, J. Mola",14:20,1,"R. Brennan, J. Mola",2,,,,,
2011,28-Jun,Seans,B,179,2,Dry,11:02,16:15,5:13,11:04,1,"R. Brennan, J. Mola",15:25,1,"R. Brennan, J. Mola",2,,,,,
2011,29-Jun,Copper,D,180,1,Willow,9:12,14:41,5:29,9:13,1,"R. Brennan, J. Mola",14:00,1,"R. Brennan, J. Mola",2,,,,,
2011,29-Jun,Little,D,180,2,Veratrum,10:13,15:10,4:57,10:13,1,"R. Brennan, J. Mola",14:54,0.5,"R. Brennan, J. Mola",1.5,,,,,
2011,29-Jun,Hill,D,180,2,Dry,10:56,15:30,4:34,11:00,1,"R. Brennan, J. Mola",NA,0,NA,1,,,,,
2011,30-Jun,Snodgrass,"Weather station",181,2,"Weather Station",10:24,16:06,5:42,10:25,1,"R. Brennan, J. Mola",NA,0,NA,1,,,,,
2011,01-Jul,Almont,"Weather station",182,2,"Weather Station",11:58,16:24,4:26,11:58,1,"R. Brennan",15:16,1,"R. Brennan",2,,,,,
2011,06-Jul,"Kettle Ponds","Weather station",187,2,"Weather Station",8:43,16:20,7:37,8:36,1,"R. Brennan, J. Mola",15:41,1,"R. Brennan, J. Mola",2,,,,,
2011,11-Jul,Willey,A,192,3,Willow,8:55,14:05,5:10,9:12,1,"R. Brennan, J. Mola",13:25,1,"R. Brennan, J. Mola",2,,,,,
2011,11-Jul,Tuttle,A,192,3,Veratrum,10:02,14:54,4:52,10:15,1,"R. Brennan, J. Mola",14:12,1,"R. Brennan, J. Mola",2,,,,,
2011,11-Jul,Davids,A,192,3,Dry,11:21,16:04,4:43,11:26,1,"R. Brennan, J. Mola",15:28,1,"R. Brennan, J. Mola",2,,,,,
2011,12-Jul,Seans,B,193,3,Dry,8:39,14:49,6:10,8:41,1,"R. Brennan",13:48,1,"R. Brennan, TL, Katya",2,,,,,
