"site","year","species","sex","date","ab","site","year","species","sex"
"Almont",2010,"Ceratina nanula","F",2010-06-27,2,"Almont",2010,"Ceratina nanula","F"
"Almont",2010,"Ceratina nanula","F",2010-07-10,2,"Almont",2010,"Ceratina nanula","F"
"Almont",2010,"Ceratina nanula","F",2010-07-24,1,"Almont",2010,"Ceratina nanula","F"
"Almont",2010,"Ceratina nanula","F",2010-08-11,3,"Almont",2010,"Ceratina nanula","F"
"Almont",2010,"Ceratina nanula","F",2010-08-20,1,"Almont",2010,"Ceratina nanula","F"
"Almont",2010,"Ceratina nanula","F",2010-09-02,5,"Almont",2010,"Ceratina nanula","F"
"Almont",2010,"Melissodes grindeliae","M",2010-06-27,0,"Almont",2010,"Melissodes grindeliae","M"
"Almont",2010,"Melissodes grindeliae","M",2010-07-10,1,"Almont",2010,"Melissodes grindeliae","M"
"Almont",2010,"Melissodes grindeliae","M",2010-07-24,0,"Almont",2010,"Melissodes grindeliae","M"
"Almont",2010,"Melissodes grindeliae","M",2010-08-11,0,"Almont",2010,"Melissodes grindeliae","M"
"Almont",2010,"Melissodes grindeliae","M",2010-08-20,0,"Almont",2010,"Melissodes grindeliae","M"
"Almont",2010,"Melissodes grindeliae","M",2010-09-02,0,"Almont",2010,"Melissodes grindeliae","M"
"Almont",2010,"Calliopsis teucrii","M",2010-06-27,0,"Almont",2010,"Calliopsis teucrii","M"
"Almont",2010,"Calliopsis teucrii","M",2010-07-10,1,"Almont",2010,"Calliopsis teucrii","M"
"Almont",2010,"Calliopsis teucrii","M",2010-07-24,0,"Almont",2010,"Calliopsis teucrii","M"
"Almont",2010,"Calliopsis teucrii","M",2010-08-11,0,"Almont",2010,"Calliopsis teucrii","M"
"Almont",2010,"Calliopsis teucrii","M",2010-08-20,0,"Almont",2010,"Calliopsis teucrii","M"
"Almont",2010,"Calliopsis teucrii","M",2010-09-02,0,"Almont",2010,"Calliopsis teucrii","M"
"Almont",2010,"Lasioglossum sedi","F",2010-06-27,0,"Almont",2010,"Lasioglossum sedi","F"
"Almont",2010,"Lasioglossum sedi","F",2010-07-10,8,"Almont",2010,"Lasioglossum sedi","F"
"Almont",2010,"Lasioglossum sedi","F",2010-07-24,1,"Almont",2010,"Lasioglossum sedi","F"
"Almont",2010,"Lasioglossum sedi","F",2010-08-11,0,"Almont",2010,"Lasioglossum sedi","F"
"Almont",2010,"Lasioglossum sedi","F",2010-08-20,1,"Almont",2010,"Lasioglossum sedi","F"
"Almont",2010,"Lasioglossum sedi","F",2010-09-02,0,"Almont",2010,"Lasioglossum sedi","F"
"Almont",2010,"Lasioglossum occidentale","F",2010-06-27,0,"Almont",2010,"Lasioglossum occidentale","F"
"Almont",2010,"Lasioglossum occidentale","F",2010-07-10,9,"Almont",2010,"Lasioglossum occidentale","F"
"Almont",2010,"Lasioglossum occidentale","F",2010-07-24,1,"Almont",2010,"Lasioglossum occidentale","F"
"Almont",2010,"Lasioglossum occidentale","F",2010-08-11,2,"Almont",2010,"Lasioglossum occidentale","F"
"Almont",2010,"Lasioglossum occidentale","F",2010-08-20,0,"Almont",2010,"Lasioglossum occidentale","F"
"Almont",2010,"Lasioglossum occidentale","F",2010-09-02,0,"Almont",2010,"Lasioglossum occidentale","F"
"Almont",2010,"Halictus tripartitus","F",2010-06-27,0,"Almont",2010,"Halictus tripartitus","F"
"Almont",2010,"Halictus tripartitus","F",2010-07-10,2,"Almont",2010,"Halictus tripartitus","F"
"Almont",2010,"Halictus tripartitus","F",2010-07-24,1,"Almont",2010,"Halictus tripartitus","F"
"Almont",2010,"Halictus tripartitus","F",2010-08-11,0,"Almont",2010,"Halictus tripartitus","F"
"Almont",2010,"Halictus tripartitus","F",2010-08-20,0,"Almont",2010,"Halictus tripartitus","F"
"Almont",2010,"Halictus tripartitus","F",2010-09-02,1,"Almont",2010,"Halictus tripartitus","F"
"Almont",2010,"Lasioglossum ruidosense","F",2010-06-27,0,"Almont",2010,"Lasioglossum ruidosense","F"
"Almont",2010,"Lasioglossum ruidosense","F",2010-07-10,1,"Almont",2010,"Lasioglossum ruidosense","F"
"Almont",2010,"Lasioglossum ruidosense","F",2010-07-24,0,"Almont",2010,"Lasioglossum ruidosense","F"
"Almont",2010,"Lasioglossum ruidosense","F",2010-08-11,0,"Almont",2010,"Lasioglossum ruidosense","F"
"Almont",2010,"Lasioglossum ruidosense","F",2010-08-20,0,"Almont",2010,"Lasioglossum ruidosense","F"
"Almont",2010,"Lasioglossum ruidosense","F",2010-09-02,1,"Almont",2010,"Lasioglossum ruidosense","F"
"Almont",2010,"Agapostemon texanus","F",2010-06-27,0,"Almont",2010,"Agapostemon texanus","F"
"Almont",2010,"Agapostemon texanus","F",2010-07-10,0,"Almont",2010,"Agapostemon texanus","F"
"Almont",2010,"Agapostemon texanus","F",2010-07-24,1,"Almont",2010,"Agapostemon texanus","F"
"Almont",2010,"Agapostemon texanus","F",2010-08-11,0,"Almont",2010,"Agapostemon texanus","F"
"Almont",2010,"Agapostemon texanus","F",2010-08-20,0,"Almont",2010,"Agapostemon texanus","F"
"Almont",2010,"Agapostemon texanus","F",2010-09-02,2,"Almont",2010,"Agapostemon texanus","F"
"Almont",2010,"Megachile mellitarsis","F",2010-06-27,0,"Almont",2010,"Megachile mellitarsis","F"
"Almont",2010,"Megachile mellitarsis","F",2010-07-10,0,"Almont",2010,"Megachile mellitarsis","F"
"Almont",2010,"Megachile mellitarsis","F",2010-07-24,0,"Almont",2010,"Megachile mellitarsis","F"
"Almont",2010,"Megachile mellitarsis","F",2010-08-11,0,"Almont",2010,"Megachile mellitarsis","F"
"Almont",2010,"Megachile mellitarsis","F",2010-08-20,1,"Almont",2010,"Megachile mellitarsis","F"
"Almont",2010,"Megachile mellitarsis","F",2010-09-02,0,"Almont",2010,"Megachile mellitarsis","F"
"Almont",2010,"Melissodes lutulentus","F",2010-06-27,0,"Almont",2010,"Melissodes lutulentus","F"
"Almont",2010,"Melissodes lutulentus","F",2010-07-10,0,"Almont",2010,"Melissodes lutulentus","F"
"Almont",2010,"Melissodes lutulentus","F",2010-07-24,0,"Almont",2010,"Melissodes lutulentus","F"
"Almont",2010,"Melissodes lutulentus","F",2010-08-11,0,"Almont",2010,"Melissodes lutulentus","F"
"Almont",2010,"Melissodes lutulentus","F",2010-08-20,3,"Almont",2010,"Melissodes lutulentus","F"
"Almont",2010,"Melissodes lutulentus","F",2010-09-02,0,"Almont",2010,"Melissodes lutulentus","F"
"Almont",2010,"Calliopsis coloradensis","F",2010-06-27,0,"Almont",2010,"Calliopsis coloradensis","F"
"Almont",2010,"Calliopsis coloradensis","F",2010-07-10,0,"Almont",2010,"Calliopsis coloradensis","F"
"Almont",2010,"Calliopsis coloradensis","F",2010-07-24,0,"Almont",2010,"Calliopsis coloradensis","F"
"Almont",2010,"Calliopsis coloradensis","F",2010-08-11,0,"Almont",2010,"Calliopsis coloradensis","F"
"Almont",2010,"Calliopsis coloradensis","F",2010-08-20,0,"Almont",2010,"Calliopsis coloradensis","F"
"Almont",2010,"Calliopsis coloradensis","F",2010-09-02,1,"Almont",2010,"Calliopsis coloradensis","F"
"Almont",2010,"Lasioglossum semicaeruleum","F",2010-06-27,0,"Almont",2010,"Lasioglossum semicaeruleum","F"
"Almont",2010,"Lasioglossum semicaeruleum","F",2010-07-10,0,"Almont",2010,"Lasioglossum semicaeruleum","F"
"Almont",2010,"Lasioglossum semicaeruleum","F",2010-07-24,0,"Almont",2010,"Lasioglossum semicaeruleum","F"
"Almont",2010,"Lasioglossum semicaeruleum","F",2010-08-11,0,"Almont",2010,"Lasioglossum semicaeruleum","F"
"Almont",2010,"Lasioglossum semicaeruleum","F",2010-08-20,0,"Almont",2010,"Lasioglossum semicaeruleum","F"
"Almont",2010,"Lasioglossum semicaeruleum","F",2010-09-02,1,"Almont",2010,"Lasioglossum semicaeruleum","F"
"Almont",2010,"Pseudopanurgus bakeri","F",2010-06-27,0,"Almont",2010,"Pseudopanurgus bakeri","F"
"Almont",2010,"Pseudopanurgus bakeri","F",2010-07-10,0,"Almont",2010,"Pseudopanurgus bakeri","F"
"Almont",2010,"Pseudopanurgus bakeri","F",2010-07-24,0,"Almont",2010,"Pseudopanurgus bakeri","F"
"Almont",2010,"Pseudopanurgus bakeri","F",2010-08-11,0,"Almont",2010,"Pseudopanurgus bakeri","F"
"Almont",2010,"Pseudopanurgus bakeri","F",2010-08-20,0,"Almont",2010,"Pseudopanurgus bakeri","F"
"Almont",2010,"Pseudopanurgus bakeri","F",2010-09-02,1,"Almont",2010,"Pseudopanurgus bakeri","F"
"Almont",2011,"Eucera fulvitarsis","F",2011-06-16,1,"Almont",2011,"Eucera fulvitarsis","F"
"Almont",2011,"Eucera fulvitarsis","F",2011-07-01,0,"Almont",2011,"Eucera fulvitarsis","F"
"Almont",2011,"Eucera fulvitarsis","F",2011-07-14,0,"Almont",2011,"Eucera fulvitarsis","F"
"Almont",2011,"Eucera fulvitarsis","F",2011-07-28,0,"Almont",2011,"Eucera fulvitarsis","F"
"Almont",2011,"Eucera fulvitarsis","F",2011-08-09,0,"Almont",2011,"Eucera fulvitarsis","F"
"Almont",2011,"Eucera fulvitarsis","F",2011-08-26,0,"Almont",2011,"Eucera fulvitarsis","F"
"Almont",2011,"Eucera fulvitarsis","F",2011-09-12,0,"Almont",2011,"Eucera fulvitarsis","F"
"Almont",2011,"Ceratina nanula","F",2011-06-16,1,"Almont",2011,"Ceratina nanula","F"
"Almont",2011,"Ceratina nanula","F",2011-07-01,3,"Almont",2011,"Ceratina nanula","F"
"Almont",2011,"Ceratina nanula","F",2011-07-14,0,"Almont",2011,"Ceratina nanula","F"
"Almont",2011,"Ceratina nanula","F",2011-07-28,0,"Almont",2011,"Ceratina nanula","F"
"Almont",2011,"Ceratina nanula","F",2011-08-09,1,"Almont",2011,"Ceratina nanula","F"
"Almont",2011,"Ceratina nanula","F",2011-08-26,0,"Almont",2011,"Ceratina nanula","F"
"Almont",2011,"Ceratina nanula","F",2011-09-12,0,"Almont",2011,"Ceratina nanula","F"
"Almont",2011,"Lasioglossum prasinogaster","F",2011-06-16,5,"Almont",2011,"Lasioglossum prasinogaster","F"
"Almont",2011,"Lasioglossum prasinogaster","F",2011-07-01,6,"Almont",2011,"Lasioglossum prasinogaster","F"
"Almont",2011,"Lasioglossum prasinogaster","F",2011-07-14,58,"Almont",2011,"Lasioglossum prasinogaster","F"
"Almont",2011,"Lasioglossum prasinogaster","F",2011-07-28,10,"Almont",2011,"Lasioglossum prasinogaster","F"
"Almont",2011,"Lasioglossum prasinogaster","F",2011-08-09,4,"Almont",2011,"Lasioglossum prasinogaster","F"
"Almont",2011,"Lasioglossum prasinogaster","F",2011-08-26,1,"Almont",2011,"Lasioglossum prasinogaster","F"
"Almont",2011,"Lasioglossum prasinogaster","F",2011-09-12,0,"Almont",2011,"Lasioglossum prasinogaster","F"
"Almont",2011,"Ceratina nanula","M",2011-06-16,1,"Almont",2011,"Ceratina nanula","M"
"Almont",2011,"Ceratina nanula","M",2011-07-01,0,"Almont",2011,"Ceratina nanula","M"
"Almont",2011,"Ceratina nanula","M",2011-07-14,0,"Almont",2011,"Ceratina nanula","M"
"Almont",2011,"Ceratina nanula","M",2011-07-28,0,"Almont",2011,"Ceratina nanula","M"
"Almont",2011,"Ceratina nanula","M",2011-08-09,1,"Almont",2011,"Ceratina nanula","M"
"Almont",2011,"Ceratina nanula","M",2011-08-26,0,"Almont",2011,"Ceratina nanula","M"
"Almont",2011,"Ceratina nanula","M",2011-09-12,0,"Almont",2011,"Ceratina nanula","M"
"Almont",2011,"Hoplitis producta","F",2011-06-16,0,"Almont",2011,"Hoplitis producta","F"
"Almont",2011,"Hoplitis producta","F",2011-07-01,1,"Almont",2011,"Hoplitis producta","F"
"Almont",2011,"Hoplitis producta","F",2011-07-14,1,"Almont",2011,"Hoplitis producta","F"
"Almont",2011,"Hoplitis producta","F",2011-07-28,0,"Almont",2011,"Hoplitis producta","F"
"Almont",2011,"Hoplitis producta","F",2011-08-09,0,"Almont",2011,"Hoplitis producta","F"
"Almont",2011,"Hoplitis producta","F",2011-08-26,0,"Almont",2011,"Hoplitis producta","F"
"Almont",2011,"Hoplitis producta","F",2011-09-12,0,"Almont",2011,"Hoplitis producta","F"
"Almont",2011,"Halictus tripartitus","F",2011-06-16,0,"Almont",2011,"Halictus tripartitus","F"
"Almont",2011,"Halictus tripartitus","F",2011-07-01,1,"Almont",2011,"Halictus tripartitus","F"
"Almont",2011,"Halictus tripartitus","F",2011-07-14,20,"Almont",2011,"Halictus tripartitus","F"
"Almont",2011,"Halictus tripartitus","F",2011-07-28,12,"Almont",2011,"Halictus tripartitus","F"
"Almont",2011,"Halictus tripartitus","F",2011-08-09,0,"Almont",2011,"Halictus tripartitus","F"
"Almont",2011,"Halictus tripartitus","F",2011-08-26,0,"Almont",2011,"Halictus tripartitus","F"
"Almont",2011,"Halictus tripartitus","F",2011-09-12,0,"Almont",2011,"Halictus tripartitus","F"
"Almont",2011,"Hoplitis albifrons","F",2011-06-16,0,"Almont",2011,"Hoplitis albifrons","F"
"Almont",2011,"Hoplitis albifrons","F",2011-07-01,1,"Almont",2011,"Hoplitis albifrons","F"
"Almont",2011,"Hoplitis albifrons","F",2011-07-14,0,"Almont",2011,"Hoplitis albifrons","F"
"Almont",2011,"Hoplitis albifrons","F",2011-07-28,0,"Almont",2011,"Hoplitis albifrons","F"
"Almont",2011,"Hoplitis albifrons","F",2011-08-09,0,"Almont",2011,"Hoplitis albifrons","F"
"Almont",2011,"Hoplitis albifrons","F",2011-08-26,0,"Almont",2011,"Hoplitis albifrons","F"
"Almont",2011,"Hoplitis albifrons","F",2011-09-12,0,"Almont",2011,"Hoplitis albifrons","F"
"Almont",2011,"Agapostemon texanus","F",2011-06-16,0,"Almont",2011,"Agapostemon texanus","F"
"Almont",2011,"Agapostemon texanus","F",2011-07-01,0,"Almont",2011,"Agapostemon texanus","F"
"Almont",2011,"Agapostemon texanus","F",2011-07-14,1,"Almont",2011,"Agapostemon texanus","F"
"Almont",2011,"Agapostemon texanus","F",2011-07-28,0,"Almont",2011,"Agapostemon texanus","F"
"Almont",2011,"Agapostemon texanus","F",2011-08-09,0,"Almont",2011,"Agapostemon texanus","F"
"Almont",2011,"Agapostemon texanus","F",2011-08-26,1,"Almont",2011,"Agapostemon texanus","F"
"Almont",2011,"Agapostemon texanus","F",2011-09-12,2,"Almont",2011,"Agapostemon texanus","F"
"Almont",2011,"Osmia ednae","F",2011-06-16,0,"Almont",2011,"Osmia ednae","F"
"Almont",2011,"Osmia ednae","F",2011-07-01,0,"Almont",2011,"Osmia ednae","F"
"Almont",2011,"Osmia ednae","F",2011-07-14,1,"Almont",2011,"Osmia ednae","F"
"Almont",2011,"Osmia ednae","F",2011-07-28,0,"Almont",2011,"Osmia ednae","F"
"Almont",2011,"Osmia ednae","F",2011-08-09,0,"Almont",2011,"Osmia ednae","F"
"Almont",2011,"Osmia ednae","F",2011-08-26,0,"Almont",2011,"Osmia ednae","F"
"Almont",2011,"Osmia ednae","F",2011-09-12,0,"Almont",2011,"Osmia ednae","F"
"Almont",2011,"Lasioglossum sedi","F",2011-06-16,0,"Almont",2011,"Lasioglossum sedi","F"
"Almont",2011,"Lasioglossum sedi","F",2011-07-01,0,"Almont",2011,"Lasioglossum sedi","F"
"Almont",2011,"Lasioglossum sedi","F",2011-07-14,5,"Almont",2011,"Lasioglossum sedi","F"
"Almont",2011,"Lasioglossum sedi","F",2011-07-28,0,"Almont",2011,"Lasioglossum sedi","F"
"Almont",2011,"Lasioglossum sedi","F",2011-08-09,0,"Almont",2011,"Lasioglossum sedi","F"
"Almont",2011,"Lasioglossum sedi","F",2011-08-26,0,"Almont",2011,"Lasioglossum sedi","F"
"Almont",2011,"Lasioglossum sedi","F",2011-09-12,0,"Almont",2011,"Lasioglossum sedi","F"
"Almont",2011,"Lasioglossum occidentale","F",2011-06-16,0,"Almont",2011,"Lasioglossum occidentale","F"
"Almont",2011,"Lasioglossum occidentale","F",2011-07-01,0,"Almont",2011,"Lasioglossum occidentale","F"
"Almont",2011,"Lasioglossum occidentale","F",2011-07-14,4,"Almont",2011,"Lasioglossum occidentale","F"
"Almont",2011,"Lasioglossum occidentale","F",2011-07-28,0,"Almont",2011,"Lasioglossum occidentale","F"
"Almont",2011,"Lasioglossum occidentale","F",2011-08-09,0,"Almont",2011,"Lasioglossum occidentale","F"
"Almont",2011,"Lasioglossum occidentale","F",2011-08-26,0,"Almont",2011,"Lasioglossum occidentale","F"
"Almont",2011,"Lasioglossum occidentale","F",2011-09-12,0,"Almont",2011,"Lasioglossum occidentale","F"
"Almont",2011,"Lasioglossum prasinogaster","M",2011-06-16,0,"Almont",2011,"Lasioglossum prasinogaster","M"
"Almont",2011,"Lasioglossum prasinogaster","M",2011-07-01,0,"Almont",2011,"Lasioglossum prasinogaster","M"
"Almont",2011,"Lasioglossum prasinogaster","M",2011-07-14,1,"Almont",2011,"Lasioglossum prasinogaster","M"
"Almont",2011,"Lasioglossum prasinogaster","M",2011-07-28,1,"Almont",2011,"Lasioglossum prasinogaster","M"
"Almont",2011,"Lasioglossum prasinogaster","M",2011-08-09,0,"Almont",2011,"Lasioglossum prasinogaster","M"
"Almont",2011,"Lasioglossum prasinogaster","M",2011-08-26,0,"Almont",2011,"Lasioglossum prasinogaster","M"
"Almont",2011,"Lasioglossum prasinogaster","M",2011-09-12,0,"Almont",2011,"Lasioglossum prasinogaster","M"
"Almont",2011,"Andrena prunorum","F",2011-06-16,0,"Almont",2011,"Andrena prunorum","F"
"Almont",2011,"Andrena prunorum","F",2011-07-01,0,"Almont",2011,"Andrena prunorum","F"
"Almont",2011,"Andrena prunorum","F",2011-07-14,1,"Almont",2011,"Andrena prunorum","F"
"Almont",2011,"Andrena prunorum","F",2011-07-28,0,"Almont",2011,"Andrena prunorum","F"
"Almont",2011,"Andrena prunorum","F",2011-08-09,0,"Almont",2011,"Andrena prunorum","F"
"Almont",2011,"Andrena prunorum","F",2011-08-26,0,"Almont",2011,"Andrena prunorum","F"
"Almont",2011,"Andrena prunorum","F",2011-09-12,0,"Almont",2011,"Andrena prunorum","F"
"Almont",2011,"Dianthidium heterulkei","F",2011-06-16,0,"Almont",2011,"Dianthidium heterulkei","F"
"Almont",2011,"Dianthidium heterulkei","F",2011-07-01,0,"Almont",2011,"Dianthidium heterulkei","F"
"Almont",2011,"Dianthidium heterulkei","F",2011-07-14,0,"Almont",2011,"Dianthidium heterulkei","F"
"Almont",2011,"Dianthidium heterulkei","F",2011-07-28,4,"Almont",2011,"Dianthidium heterulkei","F"
"Almont",2011,"Dianthidium heterulkei","F",2011-08-09,3,"Almont",2011,"Dianthidium heterulkei","F"
"Almont",2011,"Dianthidium heterulkei","F",2011-08-26,1,"Almont",2011,"Dianthidium heterulkei","F"
"Almont",2011,"Dianthidium heterulkei","F",2011-09-12,2,"Almont",2011,"Dianthidium heterulkei","F"
"Almont",2011,"Lasioglossum abundipunctum","F",2011-06-16,0,"Almont",2011,"Lasioglossum abundipunctum","F"
"Almont",2011,"Lasioglossum abundipunctum","F",2011-07-01,0,"Almont",2011,"Lasioglossum abundipunctum","F"
"Almont",2011,"Lasioglossum abundipunctum","F",2011-07-14,0,"Almont",2011,"Lasioglossum abundipunctum","F"
"Almont",2011,"Lasioglossum abundipunctum","F",2011-07-28,1,"Almont",2011,"Lasioglossum abundipunctum","F"
"Almont",2011,"Lasioglossum abundipunctum","F",2011-08-09,0,"Almont",2011,"Lasioglossum abundipunctum","F"
"Almont",2011,"Lasioglossum abundipunctum","F",2011-08-26,0,"Almont",2011,"Lasioglossum abundipunctum","F"
"Almont",2011,"Lasioglossum abundipunctum","F",2011-09-12,0,"Almont",2011,"Lasioglossum abundipunctum","F"
"Almont",2011,"Calliopsis coloradensis","F",2011-06-16,0,"Almont",2011,"Calliopsis coloradensis","F"
"Almont",2011,"Calliopsis coloradensis","F",2011-07-01,0,"Almont",2011,"Calliopsis coloradensis","F"
"Almont",2011,"Calliopsis coloradensis","F",2011-07-14,0,"Almont",2011,"Calliopsis coloradensis","F"
"Almont",2011,"Calliopsis coloradensis","F",2011-07-28,1,"Almont",2011,"Calliopsis coloradensis","F"
"Almont",2011,"Calliopsis coloradensis","F",2011-08-09,1,"Almont",2011,"Calliopsis coloradensis","F"
"Almont",2011,"Calliopsis coloradensis","F",2011-08-26,0,"Almont",2011,"Calliopsis coloradensis","F"
"Almont",2011,"Calliopsis coloradensis","F",2011-09-12,0,"Almont",2011,"Calliopsis coloradensis","F"
"Almont",2011,"Melissodes glenwoodensis","M",2011-06-16,0,"Almont",2011,"Melissodes glenwoodensis","M"
"Almont",2011,"Melissodes glenwoodensis","M",2011-07-01,0,"Almont",2011,"Melissodes glenwoodensis","M"
"Almont",2011,"Melissodes glenwoodensis","M",2011-07-14,0,"Almont",2011,"Melissodes glenwoodensis","M"
"Almont",2011,"Melissodes glenwoodensis","M",2011-07-28,1,"Almont",2011,"Melissodes glenwoodensis","M"
"Almont",2011,"Melissodes glenwoodensis","M",2011-08-09,0,"Almont",2011,"Melissodes glenwoodensis","M"
"Almont",2011,"Melissodes glenwoodensis","M",2011-08-26,0,"Almont",2011,"Melissodes glenwoodensis","M"
"Almont",2011,"Melissodes glenwoodensis","M",2011-09-12,0,"Almont",2011,"Melissodes glenwoodensis","M"
"Almont",2011,"Lasioglossum ruidosense","F",2011-06-16,0,"Almont",2011,"Lasioglossum ruidosense","F"
"Almont",2011,"Lasioglossum ruidosense","F",2011-07-01,0,"Almont",2011,"Lasioglossum ruidosense","F"
"Almont",2011,"Lasioglossum ruidosense","F",2011-07-14,0,"Almont",2011,"Lasioglossum ruidosense","F"
"Almont",2011,"Lasioglossum ruidosense","F",2011-07-28,1,"Almont",2011,"Lasioglossum ruidosense","F"
"Almont",2011,"Lasioglossum ruidosense","F",2011-08-09,0,"Almont",2011,"Lasioglossum ruidosense","F"
"Almont",2011,"Lasioglossum ruidosense","F",2011-08-26,0,"Almont",2011,"Lasioglossum ruidosense","F"
"Almont",2011,"Lasioglossum ruidosense","F",2011-09-12,0,"Almont",2011,"Lasioglossum ruidosense","F"
"Almont",2011,"Lasioglossum obnubilum","F",2011-06-16,0,"Almont",2011,"Lasioglossum obnubilum","F"
"Almont",2011,"Lasioglossum obnubilum","F",2011-07-01,0,"Almont",2011,"Lasioglossum obnubilum","F"
"Almont",2011,"Lasioglossum obnubilum","F",2011-07-14,0,"Almont",2011,"Lasioglossum obnubilum","F"
"Almont",2011,"Lasioglossum obnubilum","F",2011-07-28,1,"Almont",2011,"Lasioglossum obnubilum","F"
"Almont",2011,"Lasioglossum obnubilum","F",2011-08-09,0,"Almont",2011,"Lasioglossum obnubilum","F"
"Almont",2011,"Lasioglossum obnubilum","F",2011-08-26,0,"Almont",2011,"Lasioglossum obnubilum","F"
"Almont",2011,"Lasioglossum obnubilum","F",2011-09-12,0,"Almont",2011,"Lasioglossum obnubilum","F"
"Almont",2011,"Megachile melanophaea","F",2011-06-16,0,"Almont",2011,"Megachile melanophaea","F"
"Almont",2011,"Megachile melanophaea","F",2011-07-01,0,"Almont",2011,"Megachile melanophaea","F"
"Almont",2011,"Megachile melanophaea","F",2011-07-14,0,"Almont",2011,"Megachile melanophaea","F"
"Almont",2011,"Megachile melanophaea","F",2011-07-28,0,"Almont",2011,"Megachile melanophaea","F"
"Almont",2011,"Megachile melanophaea","F",2011-08-09,0,"Almont",2011,"Megachile melanophaea","F"
"Almont",2011,"Megachile melanophaea","F",2011-08-26,1,"Almont",2011,"Megachile melanophaea","F"
"Almont",2011,"Megachile melanophaea","F",2011-09-12,0,"Almont",2011,"Megachile melanophaea","F"
"Almont",2011,"Agapostemon texanus","M",2011-06-16,0,"Almont",2011,"Agapostemon texanus","M"
"Almont",2011,"Agapostemon texanus","M",2011-07-01,0,"Almont",2011,"Agapostemon texanus","M"
"Almont",2011,"Agapostemon texanus","M",2011-07-14,0,"Almont",2011,"Agapostemon texanus","M"
"Almont",2011,"Agapostemon texanus","M",2011-07-28,0,"Almont",2011,"Agapostemon texanus","M"
"Almont",2011,"Agapostemon texanus","M",2011-08-09,0,"Almont",2011,"Agapostemon texanus","M"
"Almont",2011,"Agapostemon texanus","M",2011-08-26,0,"Almont",2011,"Agapostemon texanus","M"
"Almont",2011,"Agapostemon texanus","M",2011-09-12,4,"Almont",2011,"Agapostemon texanus","M"
"Almont",2011,"Megachile pugnata","F",2011-06-16,0,"Almont",2011,"Megachile pugnata","F"
"Almont",2011,"Megachile pugnata","F",2011-07-01,0,"Almont",2011,"Megachile pugnata","F"
"Almont",2011,"Megachile pugnata","F",2011-07-14,0,"Almont",2011,"Megachile pugnata","F"
"Almont",2011,"Megachile pugnata","F",2011-07-28,0,"Almont",2011,"Megachile pugnata","F"
"Almont",2011,"Megachile pugnata","F",2011-08-09,0,"Almont",2011,"Megachile pugnata","F"
"Almont",2011,"Megachile pugnata","F",2011-08-26,0,"Almont",2011,"Megachile pugnata","F"
"Almont",2011,"Megachile pugnata","F",2011-09-12,1,"Almont",2011,"Megachile pugnata","F"
"Almont",2012,"Eucera fulvitarsis","M",2012-04-17,6,"Almont",2012,"Eucera fulvitarsis","M"
"Almont",2012,"Eucera fulvitarsis","M",2012-04-30,1,"Almont",2012,"Eucera fulvitarsis","M"
"Almont",2012,"Eucera fulvitarsis","M",2012-05-19,0,"Almont",2012,"Eucera fulvitarsis","M"
"Almont",2012,"Eucera fulvitarsis","M",2012-05-31,0,"Almont",2012,"Eucera fulvitarsis","M"
