"species","sex","site","date","year","dataset","lat","lon","effort","ab","doy"
"Hoplitis producta","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Lasioglossum prasinogaster","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,5,152
"Ceratina nanula","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,6,152
"Osmia (acanthosmioides)","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Colletes nigrifrons","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Osmia kincaidii","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Halictus tripartitus","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,5,152
"Ceratina neomexicana","M","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Ceratina nanula","M","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,3,152
"Andrena cyanophila","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Osmia ednae","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Dianthidium heterulkei","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Ceratina neomexicana","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Lasioglossum nigrum","F","Almont",2012-06-25,2012,"rmbl",38.65622,-106.86203,6.08333333333333,6,177
"Megachile melanophaea","F","Almont",2012-06-25,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,177
"Andrena apacheorum/columbiana","F","Almont",2012-06-25,2012,"rmbl",38.65622,-106.86203,6.08333333333333,3,177
"Andrena birtwelli","F","Almont",2012-06-25,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,177
"Halictus virgatellus","F","Almont",2012-06-25,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,177
"Osmia cyanopoda","F","Almont",2012-06-25,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,177
"Hylaeus annulatus","F","Almont",2012-06-25,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,177
"Lasioglossum ruidosense","F","Almont",2012-06-25,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,177
"Panurginus ineptus","","Almont",2012-06-25,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,177
"Hylaeus annulatus","M","Almont",2012-06-25,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,177
"Osmia ednae","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,2,194
"Ashmeadiella opuntiae","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,3,194
"Dianthidium heterulkei","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,2,194
"Ceratina neomexicana","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,194
"Ceratina nanula","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,5,194
"Lasioglossum ruidosense","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,194
"Andrena prunorum","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,194
"Lasioglossum prasinogaster","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,2,194
"Lasioglossum sedi","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,194
"Lasioglossum trizonatum","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,194
"Lasioglossum sisymbrii","F","Almont",2012-07-12,2012,"rmbl",38.65622,-106.86203,6.08333333333333,1,194
"Lasioglossum ebmerellum","F","Almont",2012-07-25,2012,"rmbl",38.65622,-106.86203,6.33333333333333,1,207
"Coelioxys sodalis","F","Almont",2012-07-25,2012,"rmbl",38.65622,-106.86203,6.33333333333333,1,207
"Lasioglossum trizonatum","M","Almont",2012-07-25,2012,"rmbl",38.65622,-106.86203,6.33333333333333,1,207
"Lasioglossum ruidosense","F","Almont",2012-07-25,2012,"rmbl",38.65622,-106.86203,6.33333333333333,2,207
"Lasioglossum prasinogaster","F","Almont",2012-07-25,2012,"rmbl",38.65622,-106.86203,6.33333333333333,2,207
"Agapostemon texanus","F","Almont",2012-08-23,2012,"rmbl",38.65622,-106.86203,5.75,1,236
"Lasioglossum trizonatum","F","Almont",2012-08-23,2012,"rmbl",38.65622,-106.86203,5.75,1,236
"Lasioglossum prasinogaster","F","Almont",2012-08-23,2012,"rmbl",38.65622,-106.86203,5.75,3,236
"Halictus rubicundus","F","Almont",2013-05-05,2013,"rmbl",38.65622,-106.86203,4.58333333333333,1,125
"Lasioglossum prasinogaster","F","Almont",2013-05-05,2013,"rmbl",38.65622,-106.86203,4.58333333333333,2,125
"Eucera fulvitarsis","M","Almont",2013-05-05,2013,"rmbl",38.65622,-106.86203,4.58333333333333,1,125
"Halictus tripartitus","F","Almont",2013-05-18,2013,"rmbl",38.65622,-106.86203,4.35,1,138
"Andrena prunorum","F","Almont",2013-06-05,2013,"rmbl",38.65622,-106.86203,4.71666666666667,1,156
"Halictus rubicundus","F","Almont",2013-06-05,2013,"rmbl",38.65622,-106.86203,4.71666666666667,1,156
"Lasioglossum sedi","F","Almont",2013-06-05,2013,"rmbl",38.65622,-106.86203,4.71666666666667,1,156
"Lasioglossum prasinogaster","F","Almont",2013-06-05,2013,"rmbl",38.65622,-106.86203,4.71666666666667,1,156
"Megachile perihirta","F","Almont",2013-06-18,2013,"rmbl",38.65622,-106.86203,6.26666666666667,1,169
"Osmia ednae","F","Almont",2013-06-18,2013,"rmbl",38.65622,-106.86203,6.26666666666667,2,169
"Lasioglossum prasinogaster","F","Almont",2013-06-18,2013,"rmbl",38.65622,-106.86203,6.26666666666667,1,169
"Andrena lawrencei","F","Almont",2013-06-18,2013,"rmbl",38.65622,-106.86203,6.26666666666667,2,169
"Ashmeadiella opuntiae","F","Almont",2013-06-18,2013,"rmbl",38.65622,-106.86203,6.26666666666667,1,169
"Halictus rubicundus","F","Almont",2013-07-24,2013,"rmbl",38.65622,-106.86203,4.95,2,205
"Colletes kincaidii","F","Almont",2013-07-24,2013,"rmbl",38.65622,-106.86203,4.95,1,205
"Lasioglossum ruidosense","F","Almont",2013-07-24,2013,"rmbl",38.65622,-106.86203,4.95,1,205
"Lasioglossum prasinogaster","F","Almont",2013-08-06,2013,"rmbl",38.65622,-106.86203,4.93333333333333,5,218
"Lasioglossum ruidosense","F","Almont",2013-08-06,2013,"rmbl",38.65622,-106.86203,4.93333333333333,2,218
"Dianthidium heterulkei","F","Almont",2013-08-19,2013,"rmbl",38.65622,-106.86203,4.75,3,231
"Andrena lawrencei","F","Almont",2014-06-02,2014,"rmbl",38.65622,-106.86203,6.08333333333333,1,153
"Lasioglossum trizonatum","F","Almont",2014-06-02,2014,"rmbl",38.65622,-106.86203,6.08333333333333,5,153
"Lasioglossum sedi","F","Almont",2014-06-02,2014,"rmbl",38.65622,-106.86203,6.08333333333333,7,153
"Lasioglossum prasinogaster","F","Almont",2014-06-02,2014,"rmbl",38.65622,-106.86203,6.08333333333333,16,153
"Agapostemon texanus","F","Almont",2014-06-02,2014,"rmbl",38.65622,-106.86203,6.08333333333333,1,153
"Ceratina neomexicana","M","Almont",2014-06-02,2014,"rmbl",38.65622,-106.86203,6.08333333333333,1,153
"Lasioglossum abundipunctum","F","Almont",2014-06-02,2014,"rmbl",38.65622,-106.86203,6.08333333333333,1,153
"Ceratina nanula","M","Almont",2014-06-13,2014,"rmbl",38.65622,-106.86203,5.73333333333333,3,164
"Lasioglossum sedi","F","Almont",2014-06-13,2014,"rmbl",38.65622,-106.86203,5.73333333333333,2,164
"Colletes phaceliae","F","Almont",2014-06-13,2014,"rmbl",38.65622,-106.86203,5.73333333333333,1,164
"Andrena lawrencei","F","Almont",2014-06-13,2014,"rmbl",38.65622,-106.86203,5.73333333333333,1,164
"Lasioglossum prasinogaster","F","Almont",2014-06-13,2014,"rmbl",38.65622,-106.86203,5.73333333333333,5,164
"Lasioglossum trizonatum","F","Almont",2014-06-13,2014,"rmbl",38.65622,-106.86203,5.73333333333333,1,164
"Halictus tripartitus","F","Almont",2014-06-13,2014,"rmbl",38.65622,-106.86203,5.73333333333333,1,164
"Lasioglossum prasinogaster","F","Almont",2014-06-26,2014,"rmbl",38.65622,-106.86203,5.95,2,177
"Andrena lawrencei","F","Almont",2014-06-26,2014,"rmbl",38.65622,-106.86203,5.95,1,177
"Lasioglossum semicaeruleum","F","Almont",2014-06-26,2014,"rmbl",38.65622,-106.86203,5.95,1,177
"Megachile nevadensis","M","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Lasioglossum prasinogaster","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,23,199
"Halictus tripartitus","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,13,199
"Lasioglossum prasinogaster","M","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,3,199
"Hylaeus rudbeckiae","","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Melissodes lutulentus","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Melissodes confusus","M","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Osmia albolateralis","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Lasioglossum semicaeruleum","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Lasioglossum ephialtum","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Lasioglossum occidentale","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,4,199
"Lasioglossum sedi","M","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Andrena prunorum","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Dianthidium heterulkei","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,3,199
"Megachile subnigra","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Hoplitis truncata","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Atoposmia abjecta abjecta","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Lasioglossum sedi","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Lasioglossum ruidosense","F","Almont",2014-07-18,2014,"rmbl",38.65622,-106.86203,6.16666666666667,1,199
"Lasioglossum prasinogaster","M","Almont",2014-08-07,2014,"rmbl",38.65622,-106.86203,5.86666666666667,1,219
"Lasioglossum prasinogaster","F","Almont",2014-08-07,2014,"rmbl",38.65622,-106.86203,5.86666666666667,1,219
"Halictus tripartitus","F","Almont",2014-08-07,2014,"rmbl",38.65622,-106.86203,5.86666666666667,1,219
"Dianthidium heterulkei","F","Almont",2014-08-07,2014,"rmbl",38.65622,-106.86203,5.86666666666667,3,219
"Eucera fulvitarsis","M","Almont",2015-04-29,2015,"rmbl",38.65622,-106.86203,5.75,4,119
"Osmia californica","M","Almont",2015-04-29,2015,"rmbl",38.65622,-106.86203,5.75,6,119
"Andrena lawrencei","M","Almont",2015-04-29,2015,"rmbl",38.65622,-106.86203,5.75,2,119
"Lasioglossum trizonatum","F","Almont",2015-04-29,2015,"rmbl",38.65622,-106.86203,5.75,30,119
"Halictus rubicundus","F","Almont",2015-04-29,2015,"rmbl",38.65622,-106.86203,5.75,1,119
"Andrena medionitens","F","Almont",2015-04-29,2015,"rmbl",38.65622,-106.86203,5.75,2,119
