"TransectID","SamplEvent","SiteID_Year","apis_abund","prop_apis","TctVolume","TctColor","ColorVolume","VolumeSimple","ColorSimple","trapdays","NTrapsFinal","Abundance","AbundDayTrap"
"DC0c44ab0f","DCfbe97e15","DC36e34c58_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,7.99999999999999,4,0.0714285714285716
"DC0cc5523a","DCc8decc87","DCc1f1f2bc_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,13,35,2.69230769230769
"DC0cf737c0","DC5de11780","DCada152f9_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,2,0.0317460317460318
"DC0d1f8831","DC12109ac8","DCc80807aa_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,19,1.26666666666667
"DC0da83217","DC9a6b55d7","DC11f693b6_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,14,4,0.285714285714286
"DC0f8ec310","DC3e714154","DC38f249d4_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,7,0.111111111111111
"DC101ad505","DCba07b388","DC835a230a_2005",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,22,0.6875
"DC103bbdac","DC03859bd6","DC6b2e3b1b_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,11,0.733333333333334
"DC1052be2a","DCb7059404","DC1f18bda4_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,3,0.2
"DC108f98d9","DC21a64e47","DC3ca754d2_2013",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,5,3,0.6
"DC10de3be8","DC2eaaade5","DC3ca754d2_2008",0,0,"bowl 3.25oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 3.25oz","bowl 3.25oz","white,FLblue,FLyellow",1,5.99999999999999,97,16.1666666666667
"DC11dabf50","DCfbc01cd1","DC98cf9256_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,7.99999999999999,7,0.125
"DC167eda9c","DC11067359","DC3158bc58_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,13,1,0.0769230769230769
"DC189ee52e","DCc4c8a62f","DC835a230a_2005",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,3,0.09375
"DC19163f10","DC2fe539d9","DC36e34c58_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,38,0.603174603174604
"DC193e3f22","DC56a498f1","DC170d5b29_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,29,0.460317460317461
"DC1aad0198","DC955bf9a0","DC835a230a_2005",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,12,0.375
"DC1de141f0","DCa1a72091","DC3ca754d2_2013",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,5.99999999999999,21,3.50000000000001
"DC1f4a0ab7","DC00503282","DC170d5b29_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,37,0.587301587301588
"DC20da152b","DCc9f44932","DC36e34c58_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,19,0.301587301587302
"DC26ed7193","DC368908c0","DC38f249d4_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,60,0.952380952380954
"DC275d28f6","DCfef2bbb8","DC170d5b29_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,11,0.174603174603175
"DC2827186e","DCe0120676","DC36e34c58_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,18,0.285714285714286
"DC284332b3","DCad3e0183","DC835a230a_2005",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,24,0.75
"DC28f9ce3f","DC592294b5","DC835a230a_2005",1,0.111111111111111,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,8,0.25
"DC2abd1f22","DC14e4bc82","DCd3c57ed6_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,13,4,0.307692307692308
"DC2ae00db6","DCc4be3e84","DC3ca754d2_2008",0,0,"bowl 3.25oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 3.25oz","bowl 3.25oz","white,FLblue,FLyellow",1,3,5,1.66666666666666
"DC2d2ac813","DC5fdc3921","DCada152f9_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",8,8.99999999999999,1,0.0138888888888889
"DC30972984","DC74361ae3","DCffd5c80c_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",9.00000000000001,8.99999999999998,17,0.209876543209877
"DC339f05ad","DC00a59a73","DC0af7e280_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,3,0.2
"DC36767064","DC10353582","DC8b2ff625_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,5,9,1.8
"DC372edf93","DCab40317f","DC3ca754d2_2013",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,5.99999999999999,15,2.5
"DC37de9662","DC84f20842","DC98cf9256_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,1,0.0158730158730159
"DC38402e13","DCe2351a5c","DC98cf9256_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",5.99999999999999,8.00000000000003,1,0.0208333333333333
"DC38f58a99","DC7fb164cb","DC36e34c58_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",8,8.99999999999999,1,0.0138888888888889
"DC391383c0","DC7bf94cf3","DC36e34c58_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,56,0.88888888888889
"DC39c88afe","DC01229016","DC170d5b29_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,31,0.492063492063493
"DC39fb32df","DC48ce997b","DCada152f9_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,7,0.111111111111111
"DC3a976f92","DC1bc1a6e8","DC38f249d4_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",8,8.99999999999999,2,0.0277777777777778
"DC3a9ab910","DCda7a7b04","DC36e34c58_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,22,0.34920634920635
"DC3b161d49","DC237e63d5","DC3ca754d2_2008",0,0,"bowl 3.25oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 3.25oz","bowl 3.25oz","white,FLblue,FLyellow",1,5.99999999999999,1,0.166666666666667
"DC3bca6ee7","DC8b4ced96","DCada152f9_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,73,1.15873015873016
"DC3c49b697","DC789a9587","DC36e34c58_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,1,0.0158730158730159
"DC457e3627","DC5792cfda","DC6edc67f7_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,17,1.13333333333333
"DC4616aa23","DC8a735e9f","DC835a230a_2005",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,8,0.25
"DC466b82cb","DCcd4166ea","DC867b13a4_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,14,20,1.42857142857143
"DC49380469","DC9257cc72","DC3ca754d2_2008",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","white,FLblue,FLyellow",1,5.99999999999999,7,1.16666666666667
"DC49bf2c9c","DCb014fa3b","DC11f693b6_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,14,22,1.57142857142857
"DC4a843702","DC431dc716","DC3ca754d2_2008",0,0,"bowl 3.25oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 3.25oz","bowl 3.25oz","white,FLblue,FLyellow",1,5.99999999999999,8,1.33333333333334
"DC4ad0fc26","DC517b5c72","DC98cf9256_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,3,0.0476190476190477
"DC4d5d87e9","DC74866dcc","DC3ca754d2_2011",1,0.166666666666667,"bowl 3.25oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 3.25oz","bowl 3.25oz","white,FLblue,FLyellow",1,5,5,1
"DC4dc054ee","DC01559fe7","DC38f249d4_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,4,0.0634920634920636
"DC4e98fa50","DC607017e1","DC3ca754d2_2012",0,0,"bowl 3.25oz","blue,white,FLyellow","blue,white,FLyellowbowl 3.25oz","bowl 3.25oz","Other",1,5.99999999999999,4,0.666666666666668
"DC52db1d5f","DCab32d257","DC3ca754d2_2008",0,0,"bowl 3.25oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 3.25oz","bowl 3.25oz","white,FLblue,FLyellow",1,5.99999999999999,15,2.5
"DC53585dae","DCe2f84dbd","DC835a230a_2005",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,11,0.34375
"DC57669173","DC88f11aca","DCebbf1cd4_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,8,6,0.75
"DC579e2b47","DC0009ebe1","DC38f249d4_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,44,0.6984126984127
"DC582214b5","DC9f279aae","DCb0d7376c_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,32,2.13333333333333
"DC59eacb68","DC535fcd70","DCffa1b845_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,14,0.933333333333334
"DC5a9680e9","DC43578e0b","DCada152f9_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,119,1.88888888888889
"DC5c132812","DC9ce8276e","DC33c8d375_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,14,72,5.14285714285714
"DC5f745d89","DC084b86b3","DC360d8641_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,7.99999999999999,13,0.232142857142858
"DC618d365e","DC2f90aa4d","DCffd5c80c_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,4,0.0634920634920636
"DC62af0261","DC486decb9","DCffd5c80c_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,11,0.174603174603175
"DC639cb6ad","DCa9347b48","DC38f249d4_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,2,0.0317460317460318
"DC658a518d","DCe3428ef2","DC9fbac4c0_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,3,0.2
"DC694b64be","DCfdbb9b19","DC6c450e8b_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,35,2.33333333333333
"DC69b4f909","DC4d2b0a57","DC3ca754d2_2012",0,0,"bowl 3.25oz","blue,white,FLyellow","blue,white,FLyellowbowl 3.25oz","bowl 3.25oz","Other",1,5.99999999999999,7,1.16666666666667
"DC6a5ff729","DC893d6350","DC3ca754d2_2013",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,6.99999999999999,36,5.14285714285715
"DC6b083ff5","DC7fbaa511","DCada152f9_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,30,0.476190476190477
"DC6c8a71b2","DC88af0bf5","DC11f693b6_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,11,28,2.54545454545454
"DC6d7cd9bd","DCc8b5b97a","DC360d8641_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,3,0.0476190476190477
"DC6dd0575a","DCd4a6783a","DC3ca754d2_2012",0,0,"bowl 3.25oz","blue,white,FLyellow","blue,white,FLyellowbowl 3.25oz","bowl 3.25oz","Other",1,5.99999999999999,12,2
"DC6e4d6db8","DCcb74549e","DC36e34c58_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,18,0.285714285714286
"DC6e87ecce","DC785c136e","DC7e54e797_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,23,1.53333333333333
"DC723305b9","DC4e1d8715","DC6f38bb28_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,36,2.4
"DC753b5465","DCd802aaad","DC9fbac4c0_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,26,1.73333333333333
"DC77b57928","DC96477a98","DC38f249d4_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,21,0.333333333333334
"DC79d8bf8f","DCfc5e2b37","DC0af7e280_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,13,7,0.538461538461538
"DC7fa6d0c0","DCbaa41b51","DC360d8641_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,5,1,0.0285714285714286
"DC7fea69e0","DC8881edd9","DCccda41a6_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,22,1.46666666666667
"DC7ffd5f40","DCc38856d9","DCebbf1cd4_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,13,16,1.23076923076923
"DC80f4fec4","DCe7515143","DC2a0f0d04_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,14,0.933333333333334
"DC823b56a1","DC8c947d72","DC0af7e280_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,12,0.8
"DC82628f9c","DC96203061","DCcfe1dfff_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,19,1.26666666666667
"DC82845341","DC1d0e3b67","DC835a230a_2005",5,0.172413793103448,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,24,0.75
"DC828b340e","DC292d5b9f","DC3ca754d2_2010",0,0,"bowl 16oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 16oz","Other, Mostly Mixed","white,FLblue,FLyellow",2,2.99999999999999,20,3.33333333333334
"DC8384866b","DCd7e2649f","DC6deec9e3_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,31,2.06666666666667
"DC84c743d6","DC1462a317","DC98cf9256_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,7.99999999999999,5,0.0892857142857145
"DC84d36c79","DC89a8c849","DC360d8641_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,7.99999999999999,11,0.196428571428572
"DC85e1b03f","DC8a04054c","DC38f249d4_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",5.99999999999999,9.00000000000002,14,0.259259259259259
"DC89c96187","DC95f34585","DC0253c001_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,14,38,2.71428571428571
"DC8ad1f901","DC6dde90e8","DCcdbe886e_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,14,34,2.42857142857143
"DC8d195a39","DC7f6dac01","DCada152f9_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,2,0.0317460317460318
"DC8eeeb4e4","DCf42a1fa0","DC6b2e3b1b_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,16,1.06666666666667
"DC906f1ff8","DCe95f9f62","DC835a230a_2005",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,28,0.875
"DC91a884cd","DCdd67ead3","DCcfe1dfff_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,8,3,0.375
"DC9328de90","DCa4c4f162","DC8b2ff625_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,3,0.2
"DC96e4aaec","DC6560f679","DC0f1db6ba_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,13,6,0.461538461538461
"DC990f5824","DC2c02db6c","DC835a230a_2005",1,0.1,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,9,0.28125
"DC99585050","DC2883054f","DC3ca754d2_2011",0,0,"bowl 3.25oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 3.25oz","bowl 3.25oz","white,FLblue,FLyellow",1,5,5,1
"DC9d36dc48","DC37cceaad","DC98efe66f_2011",0,0,"bowl 3.25oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 3.25oz","bowl 3.25oz","white,FLblue,FLyellow",1,30,21,0.699999999999999
"DCa0be3ae8","DC239b0b7d","DCe7708fe3_2004",1,0.0588235294117647,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,14,16,1.14285714285714
"DCa34c0065","DC192d2ac9","DCffd5c80c_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,5,0.0793650793650795
"DCa42e7007","DCfb7d5dae","DC835a230a_2005",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,32,17,0.53125
"DCa456a5c0","DC4f065478","DCada152f9_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,16,0.253968253968254
"DCa47b73ca","DCcf2c4d16","DCffd5c80c_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,27,0.428571428571429
"DCa5fdc945","DCbce4f77f","DCd3c57ed6_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,12,10,0.833333333333333
"DCaa5663cd","DC574bbdc8","DC38f249d4_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,39,0.61904761904762
"DCaa6b22be","DCb3a5e516","DC38f249d4_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,18,0.285714285714286
"DCab7b36cf","DC18cff086","DC38f249d4_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",8,8.99999999999999,5,0.0694444444444445
